a 2 120 3 210 4 116 5 202 6 200 7 235 
aa 2 8 5 6 
aaron 6 1 
abacus 2 1 
abaris 5 1 
abbreviated 2 1 
abc 5 1 
abelson 2 1 
abet 5 1 
ability 3 1 
able 4 1 
abolish 5 1 6 1 7 5 
about 2 1 
aboutcs 2 1 
above 4 1 5 1 
abraham 5 1 
abroad 5 1 
absence 6 1 
absent 2 1 6 1 
absolute 2 1 
abstract 2 2 3 1 6 1 7 4 
abstraction 2 2 3 1 
abuse 5 3 
abuses 5 1 
ac 2 1 6 1 7 1 
academia 2 2 
academic 2 14 4 4 5 24 
academics 5 3 
academies 2 1 4 1 
academy 5 1 
accardin 2 1 
accelerates 7 1 
acceptance 2 1 
accepted 2 1 
accepting 5 1 
access 2 3 3 7 4 8 5 2 6 4 7 23 
accessed 3 4 6 2 
accesses 2 1 3 2 4 3 5 1 6 4 7 3 
accessibility 2 2 
accessible 2 2 
accessing 3 1 
accidentally 3 3 4 3 5 1 6 4 7 4 
accommodated 6 1 
accommodations 5 1 7 1 
accompanied 5 3 
accomplishes 3 1 
accord 5 2 
accordance 4 1 7 7 
according 2 1 
account 2 1 3 1 4 3 5 1 6 2 7 3 
accreditation 2 2 
accredited 5 1 
accumulation 2 1 
accuracy 5 1 
accusations 5 1 
accused 4 1 
achievable 6 1 
achieve 2 4 4 7 5 10 6 2 7 1 
achieved 6 2 
achievements 2 3 
achieves 6 1 
achilles 5 1 
acm 2 21 3 2 4 3 5 1 
acoustical 2 1 
acquires 5 1 
acquisition 2 1 
acre 5 5 
acres 5 5 
acronym 4 1 
across 2 1 3 3 6 1 
acsc 6 1 
act 2 1 3 1 
action 2 1 3 2 4 3 5 2 6 4 7 5 
actions 2 3 3 3 4 2 5 1 6 2 7 2 
active 2 1 
actively 5 1 
activities 5 2 6 3 7 3 
activity 5 11 
actual 3 3 4 1 6 1 7 2 
actually 2 1 3 2 
acyclic 6 1 7 1 
ad 3 1 
ada 2 4 3 1 
adam 5 3 7 1 
adams 5 1 7 1 
adaptation 2 2 
adapted 7 1 
add 3 1 5 1 6 1 7 3 
added 3 3 4 4 
adding 3 4 6 3 7 5 
addison 3 1 4 1 
addition 2 2 3 2 4 3 5 1 
additional 2 1 3 11 4 10 5 3 6 11 7 16 
additionally 3 1 
additions 5 1 7 1 
address 3 1 4 20 5 20 6 20 7 20 
addressability 3 1 4 2 
addressed 2 1 4 1 
addresses 2 1 3 2 7 2 
addressing 3 1 4 1 6 28 
adds 3 4 5 1 
ade 5 1 7 1 
adhere 3 1 
adherents 3 1 4 1 
adjacent 6 1 
adjective 4 1 
adjunct 2 1 
administered 4 1 
administration 5 1 
administrative 4 1 
admission 5 1 
admissions 5 3 
admits 5 2 6 4 7 4 
admitted 5 3 
admitting 5 1 
adopt 4 1 5 1 
adopted 2 2 3 3 4 2 5 1 
adoption 2 3 3 2 4 1 5 1 
adts 7 1 
advance 6 1 
advanced 2 3 4 2 5 1 6 1 
advancement 5 2 
advancing 5 1 
advantage 3 2 6 4 7 2 
advantages 6 2 7 3 
adventurous 5 1 
adversary 6 1 
advertising 2 1 
advocacy 2 1 4 1 
aee 7 1 
aerospace 2 1 
afamily 7 1 
affairs 5 2 6 1 7 1 
affected 3 1 
affecting 2 1 
affiliations 5 1 
affirmed 4 1 5 1 
affordable 2 3 
afforded 3 1 
afrikaans 2 1 3 2 
afro 5 1 
after 2 2 3 4 4 2 5 6 6 2 7 2 
afterward 4 1 
again 2 1 3 1 4 1 5 1 6 1 7 1 
against 3 1 4 2 5 2 6 2 7 2 
age 2 5 5 2 7 2 
agenda 5 1 
aggregate 3 1 
aggressive 6 1 
ago 4 2 5 1 
agree 2 3 3 8 4 2 6 4 
agreeable 5 1 
agreed 4 1 
agreement 3 1 
agricultural 2 2 
agriculture 2 2 5 1 
ahead 6 2 
aho 4 1 
ai 2 3 
aid 2 1 5 8 
aiding 2 1 5 1 
aiken 2 3 5 1 
aims 2 3 3 1 4 1 
aircraft 2 1 
aires 5 1 
ais 2 2 
aisha 5 1 
aix 4 1 
ajax 2 1 3 1 4 1 5 1 6 1 7 1 
akerman 5 2 
al 3 1 6 1 
alamitos 2 1 
alan 2 4 3 1 4 1 6 1 7 1 
alcohol 5 1 
alderson 5 2 
alef 3 1 4 1 6 1 7 1 
alemannisch 2 1 3 2 4 3 5 11 
alert 2 1 3 2 4 1 5 1 6 1 7 1 
alexander 6 1 
alexandra 2 1 7 1 
